Code,Name,Price,Retail Price,Stock Level,Product UPC/EAN,Sold out?,Clearance?
14696,Fairies and Doves Oil Warmer,11.28,16.95,137,849179000219,FALSE,FALSE
14698,Colorful Ornate Dragon Head Treasure Box,10.54,14.95,439,849179002565,FALSE,FALSE
14704,White Slatted Bathroom Space Saver Cabinet,85.61,119.95,351,849179003395,FALSE,FALSE
14705,White Slatted Tall Storage Cabinet,74.24,109.95,10,849179005603,FALSE,FALSE
14706,White Slatted Bathroom Wall Shelf,38.87,59.95,974,849179002589,FALSE,FALSE
14707,White Slatted Cabinet with Shelf,47.71,69.95,293,849179006587,FALSE,FALSE
14708,Minimalist Workstation Desk,127.31,199.95,188,849179011109,FALSE,FALSE
14709,Bamboo Storage or Display Shelf,71.28,99.95,221,849179011116,FALSE,FALSE
14710,Bamboo Rolling Kitchen Cart with Baskets,61.99,89.95,409,849179011123,FALSE,FALSE
14723,Romantic Lacy Candle Holder Set with Stand,12.47,19.95,329,849179002596,FALSE,FALSE
14737,Stainless Steel Pasta Pot and Strainer Set,36.34,49.95,672,849179005610,FALSE,FALSE
14740,Holy Mother Ceramic Oil Warmer,2.59,3.95,381,849179002602,FALSE,FALSE
14744,Three-Column Oil Warmer,2.85,5.95,926,849179002633,FALSE,FALSE
14745,Quirky Hand Design Ceramic Oil Warmer,3,5.95,377,849179002640,FALSE,FALSE
14749,Ship Model - Bermuda Tall Ship,28.82,49.95,192,849179003128,FALSE,FALSE
14750,Ship Model - Mayflower,6.9,9.95,356,849179002664,FALSE,FALSE
14751,Ship Model - Passat Tall Ship,20.12,29.95,510,849179002671,FALSE,FALSE
14758,Fleur de Lis Lace Design Windchimes,10.49,14.95,340,849179014407,FALSE,FALSE
14759,Jeweled Autumn Windchimes,11.87,19.95,326,849179014483,FALSE,FALSE
14760,Sandalwood Bath Set by Suheli Driftwood,6.97,11.99,0,849179014063,TRUE,FALSE
14768,Solar-Powered Meerkat Water Fountain,72.86,199.95,7,849179012922,TRUE,FALSE
14769,Thirsty Dog Garden Fountain - Solar or Cord Power,174.05,249.95,89,849179011130,FALSE,FALSE
14770,Glass Panel Dragonfly Water Fountain,152.44,249.95,5,849179004743,TRUE,FALSE
14772,Roman Style Stone-Look Fountain,28.82,49.95,55,849179003715,FALSE,FALSE
14773,Ornate Temple Fountain,38.31,69.95,122,849179011154,FALSE,FALSE
14774,Tom's Gym Birdhouse,13.87,19.95,350,849179003722,FALSE,FALSE
14775,Mom's Diner Bird House,13.87,19.95,160,849179003739,FALSE,FALSE
14778,Country Chapel Bird House,15.85,24.95,0,849179003760,FALSE,FALSE
14781,Animal Print Bathroom Decor Set,33,49.95,328,849179004774,FALSE,FALSE
14790,Rustic Wood-Cut Welcome Garden Gnome,32.87,49.95,183,849179003791,FALSE,FALSE
