CATEGORY;UNIT UPC;CASE UPC;DESCRIPTION;UNITS PER CASE;X;X;SELL PRICE PER UNIT;SELL PRICE PER CASE;No. OF CASES IN STOCK;NO. OF CASES ORDERED;SUBTOTAL;
AUTOMOTIVE;76171320896;7617132089;LITTLE TREE CAR FRS 3PK NEWCAR ;96;12;8;$1,44;$138,24;110;;$0,00;
AUTOMOTIVE;75847510012;7584751001;OZIUM FRSH SANITZR .8 OZ #OZ-1 ;48;8;6;$1,65;$79,20;272;;$0,00;
AUTOMOTIVE;76171520043;7617152004;PERK CAR VENT GLDN VAN 1       ;24;6;4;$1,75;$42,00;3;;$0,00;
AUTOMOTIVE;76171522085;7617152208;PERK VENT NEW CAR 1P           ;24;6;4;$1,75;$42,00;20;;$0,00;
AUTOMOTIVE;76171522030;7617152203;PERK VENT WRAP CLEAN LAUNDRY 1P;24;6;4;$1,68;$40,32;16;;$0,00;
AUTOMOTIVE;79542220078;7954222006;PURE CIT AIR FRSH SPRY BLND 6.2;6;1;6;$3,42;$20,52;25;;$0,00;
AUTOMOTIVE;79542222010;7954222206;PURE CIT ORNG AERO 6.25OZ CS/6 ;6;1;6;$3,33;$19,98;877;;$0,00;
AUTOMOTIVE;79118010706;7911801063;RAIN-X ORIG GLASS TRTMNT 3.5OZ ;10;1;10;$1,43;$14,30;106;;$0,00;
AUTOMOTIVE;77249518207;7724996100;RAIN-X WASH & WAX #51820-D 20OZ;6;1;6;$2,77;$16,62;135;;$0,00;
AUTOMOTIVE;21400560154;2140050203;SHELL M/OIL 10W-30  32OZ 6Q/CS ;6;1;6;$2,85;$17,10;727;;$0,00;
AUTOMOTIVE;21400560154;2140056015;SHELL M/OIL 10W-30 32 OZ  12Q/C;12;1;12;$2,85;$34,20;539;;$0,00;
AUTOMOTIVE;21400560109;2140050204;SHELL M/OIL 10W-40  32OZ 6/CS  ;6;1;6;$2,85;$17,10;484;;$0,00;
AUTOMOTIVE;21400560109;2140056010;SHELL M/OIL 10W-40 32 OZ  12/CS;12;1;12;$2,85;$34,20;324;;$0,00;
AUTOMOTIVE;21400560000;2140050200;SHELL M/OIL 5W-30  32OZ 6/CS   ;6;1;6;$2,85;$17,10;438;;$0,00;
AUTOMOTIVE;21400560000;2140056000;SHELL M/OIL 5W-30 32OZ  12/CS  ;12;1;12;$2,89;$34,68;160;;$0,00;
AUTOMOTIVE;71153783805;7115378380;STP 20 OZ DIESEL FUEL TRT/INJCT;6;1;6;$3,36;$20,16;439;;$0,00;
AUTOMOTIVE;71153002036;7115300203;STP BRAKE FLUID 12OZ           ;12;1;12;$1,69;$20,28;252;;$0,00;
AUTOMOTIVE;71153785687;7115378568;STP CMPLTE FUEL SYST CLNR 5.25Z;12;1;12;$2,63;$31,56;410;;$0,00;
AUTOMOTIVE;71153785717;7115378571;STP FUEL INJ/CARB CLEANER 5.25Z;12;1;12;$1,42;$17,04;1149;;$0,00;
AUTOMOTIVE;71153785755;7115378575;STP FUEL INJECT CLNR 5.25OZ/C12;12;1;12;$1,95;$23,40;1223;;$0,00;
AUTOMOTIVE;71153785731;7115378573;STP GAS TREATMENT 5.25 OZ      ;12;1;12;$1,30;$15,60;998;;$0,00;
AUTOMOTIVE;71153785748;7115378574;STP OCTANE PERF BOOSTER 5.25OZ ;12;1;12;$2,48;$29,76;555;;$0,00;
AUTOMOTIVE;71153651487;7115366079;STP OIL TREATMENT 15 OZ   CS12 ;12;1;12;$2,31;$27,72;590;;$0,00;
AUTOMOTIVE;71153002043;7115300204;STP POWER STEERING FLUID 12OZ  ;12;1;12;$1,31;$15,72;1436;;$0,00;
AUTOMOTIVE;71153660465;7115366046;STP PWR STR STOP LEAK 12 OZ    ;12;1;12;$1,57;$18,84;816;;$0,00;
AUTOMOTIVE;71153652545;7115365254;STP SON OF A GUN PROTCTNT 10 OZ;12;1;12;$1,39;$16,68;1111;;$0,00;
AUTOMOTIVE;71153785694;7115378569;STP SUPER CONC GAS TRTMNT 5.25Z;12;1;12;$1,81;$21,72;608;;$0,00;
AUTOMOTIVE;71153003507;7115300350;TUFF STUFF FOAM CLNR AERO 22 OZ;12;1;12;$2,25;$27,00;20;;$0,00;
AUTOMOTIVE;79567110101;7956711010;WD-40  3 OZ                    ;12;1;12;$2,00;$24,00;1;;$0,00;
BABY NEEDS & DIAPERS;71463021345;7146302134;1ST YEARS POOH RATTLE          ;36;6;6;$0,87;$31,32;4;;$0,00;
BABY NEEDS & DIAPERS;72140017156;580515269;AQUAPHOR OINT ADV THERAPY 3 OZ ;12;4;3;$5,52;$66,24;37;;$0,00;
BABY NEEDS & DIAPERS;381370039136;38137003913;AVEENO BABY SOOTH RLF CRM 5 OZ ;24;4;6;$3,86;$92,64;102;;$0,00;
BABY NEEDS & DIAPERS;818159010364;81815901036;BABY OIL REG 8OZ               ;24;1;24;$0,73;$17,52;68;;$0,00;
BABY NEEDS & DIAPERS;898391002310;85492300316;BABY POWDER HLTH SMART 14OZ    ;24;1;24;$0,64;$15,36;45;;$0,00;
